indicator,release_time(utc+8),actual,forecast,previous,updated_at
Initial_Claims,2025-12-04 21:30,191K,220K,218K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-26 21:30,216K,225K,222K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-20 21:30,220K,,228K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-20 21:30,228K,,229K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-20 21:30,229K,,220K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-20 21:30,220K,,232K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-20 21:30,220K,,235K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-11-18 21:30,232K,223K,219K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-09-25 20:30,218K,235K,232K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-09-18 20:30,231K,240K,264K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-09-11 20:30,263K,235K,236K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-09-04 20:30,237K,230K,229K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-08-28 20:30,229K,230K,234K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-08-21 20:30,235K,225K,224K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-08-14 20:30,224K,228K,227K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-08-07 20:30,226K,221K,219K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-07-31 20:30,218K,224K,217K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-07-24 20:30,217K,227K,221K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-07-17 20:30,221K,235K,228K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-07-10 20:30,227K,235K,232K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-07-03 20:30,233K,240K,237K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-06-26 20:30,236K,245K,246K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-06-18 20:30,245K,245K,250K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-06-12 20:30,248K,240K,248K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-06-05 20:30,247K,235K,239K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-05-29 20:30,240K,230K,226K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-05-22 20:30,227K,230K,229K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-05-15 20:30,229K,229K,229K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-05-08 20:30,228K,230K,241K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-05-01 20:30,241K,224K,223K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-04-24 20:30,222K,222K,216K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-04-17 20:30,215K,225K,224K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-04-10 20:30,223K,223K,219K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-04-03 20:30,219K,225K,225K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-03-27 20:30,224K,225K,225K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-03-20 20:30,223K,224K,221K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-03-13 20:30,220K,225K,222K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-03-06 21:30,221K,235K,242K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-02-27 21:30,242K,221K,220K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-02-20 21:30,219K,215K,214K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-02-13 21:30,213K,215K,220K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-02-06 21:30,219K,213K,208K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-01-30 21:30,207K,220K,223K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-01-23 21:30,223K,220K,217K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-01-16 21:30,217K,210K,217K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-01-08 21:30,201K,218K,211K,2026-03-19 20:55:27+08:00
Initial_Claims,2025-01-02 21:30,211K,222K,219K,2026-03-19 20:55:27+08:00
Initial_Claims,2024-12-26 21:30,219K,227K,213K,2026-03-19 20:55:27+08:00
Unemployment_Rate,2026-03-06 21:30,4.4%,4.3%,4.3%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2026-02-11 21:30,4.3%,4.4%,4.4%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2026-01-09 21:30,4.4%,4.5%,4.5%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-12-16 21:30,4.6%,4.4%,4.4%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-11-20 21:30,4.4%,4.3%,4.3%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-09-05 20:30,4.3%,4.3%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-08-01 20:30,4.2%,4.2%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-07-03 20:30,4.1%,4.3%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-06-06 20:30,4.2%,4.2%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-05-02 20:30,4.2%,4.2%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-04-04 20:30,4.2%,4.1%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-03-07 20:30,4.1%,4.0%,4.0%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-02-07 21:30,4.0%,4.1%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2025-01-10 21:30,4.1%,4.2%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-12-06 21:30,4.2%,4.2%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-11-01 21:30,4.1%,4.1%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-10-04 20:30,4.1%,4.2%,4.2%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-09-06 20:30,4.2%,4.2%,4.3%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-08-02 20:30,4.3%,4.1%,4.1%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-07-05 20:30,4.1%,4.0%,4.0%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-06-07 20:30,4.0%,3.9%,3.9%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-05-03 20:30,3.9%,3.8%,3.8%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-04-05 20:30,3.8%,3.9%,3.9%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-03-08 20:30,3.9%,3.7%,3.7%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-02-02 21:30,3.7%,3.8%,3.7%,2026-03-19 20:55:27+08:00
Unemployment_Rate,2024-01-05 21:30,3.7%,3.8%,3.7%,2026-03-19 20:55:27+08:00
